,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
30001,White,Updo Bun,Light Grey,,Dark Gray Longsleeve,Light-Wash Denim,Brown Leather Shoes with Laces,,,,,Lunchbox
30002,White,Buzz Cut,Dark Brown,Stubble,Navy Blazer with Striped Shirt and Navy Tie,Khaki Slacks,Tan Suede Workboot with Tan Sole,,,,,Black Leather Briefcase
30003,White,Short Afro Fade,Dark Brown,,Tan Blazer with Off-White Shirt and No Tie,Charcoal Slacks,Black Leather Shoes with Laces,,,,,Brown Leather Briefcase
30004,White,Buzz Cut,Light Grey,,Navy Blazer with Striped Shirt and No Tie,Navy Slacks,Tan Suede Workboot with Tan Sole,Two Rings,,,,
30005,White,Updo Bun,Black,,Navy Oxford with Pocket,Gray Slacks,Black Leather Shoes with Laces,,,Rosegold Aviators,,
30006,White,Straight Sideswept Fringe,Light Grey,,Blue Longsleeve,Charcoal Slacks,Tan Suede Workboot with Tan Sole,,,Black Books,,
30007,White,Short Coil,Black,,Gray Blazer with Black Shirt and No Tie,Navy Slacks,White Leather Sneaker with Grey Sole,,,,,Black Smartphone
30008,White,,Dark Brown,,Dark Gray Cardigan with Light Gray Longsleeve Shirt,Khaki Slacks,Black Leather Shoes with Laces,,,,,Brown Leather Briefcase
30009,White,Long Messy,Black,,Navy Blazer with Striped Shirt and No Tie,Khaki,Black Suede Chelseas with Brown Sole,,,,,Black Smartphone
30010,White,Low Ponytail,Blonde,,Navy Oxford with Buttons,Navy Slacks,White Canvas Sneaker with White Sole,,,Rosegold Aviators,,Black Smartphone
30011,White,Short Pixie,Black,,Charcoal Blazer with Light Blue Shirt and Black Tie,Khaki Slacks,Brown Leather Shoes with Laces,,,Silver Aviators,,Lunchbox
30012,White,Short Pixie,Dark Brown,Stubble,Light Gray Longsleeve,Khaki Slacks,Brown Leather Shoes with Laces,,,,Stud Earring,Black Smartphone
30013,White,Medium Curly Bob,Light Grey,Stubble,Light Gray Cardigan with Tan Oxford Shirt,Dark-Wash Denim,Black Leather Shoes with Laces,,,,,Black Smartphone
30014,White,Straight Sideswept Fringe,Dark Brown,,Gray Oxford with Buttons,Khaki Slacks,White Leather Sneaker with Grey Sole,,,Black Books,,Brown Leather Briefcase
30015,White,Short Afro Fade,Black,Thin,Navy Blazer with Striped Shirt and Navy Tie,Dark-Wash Denim,White Canvas Sneaker with White Sole,,,,,
30016,White,Low Ponytail,Black,,Dark Gray Cardigan with Beige Oxford Shirt,Khaki Slacks,White Leather Sneaker with Grey Sole,,,,,Lunchbox
30017,White,Straight Sideswept Fringe,Black,,Navy Oxford with Buttons,Charcoal Slacks,White Leather Sneaker with Grey Sole,,,,,Black Smartphone
30018,White,Short Afro Fade,Black,,Navy Blazer with Striped Shirt and No Tie,Charcoal Slacks,Brown Leather Shoes with Laces,,,,,
30019,White,Short Coil,Blonde,,Charcoal Blazer with Light Blue Shirt and Black Tie,Charcoal Slacks,Brown Leather Shoes with Laces,,,Black Books,,Brown Leather Briefcase
30020,White,Medium Curly Bob,Black,,Charcoal Blazer with Light Blue Shirt and Black Tie,Navy Slacks,Brown Leather Shoes with Laces,Two Rings,,,,
30021,White,Long Messy,Light Brown,Mustache,Navy Blazer with Striped Shirt and No Tie,Khaki Slacks,Tan Suede Workboot with Tan Sole,,,Black Books,,Brown Leather Briefcase
30022,White,Short Messy,Black,,Navy Oxford with Tie and Pocket,Khaki Slacks,Black Suede Chelseas with Brown Sole,,,,,
30023,White,Buzz Cut,Dark Brown,,Gray Jumpsuit,,White Canvas Sneaker with White Sole,,,,,Black Smartphone
30024,White,Buzz Cut,Light Grey,,Blue Longsleeve,Charcoal Slacks,White Leather Sneaker with Grey Sole,Two Rings,,Black Books,,
30025,White,Straight Sideswept Fringe,Black,,Navy Oxford with Tie and Pocket,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,,,,,Black Smartphone
30026,White,Short Afro Fade,Light Brown,,Navy Oxford with Buttons,Khaki Slacks,Tan Suede Workboot with Tan Sole,Two Rings,,,,Black Smartphone
30027,White,Short Updo,Auburn,,Red Longsleeve,Light-Wash Denim,Brown Leather Shoes with Laces,,,Black Books,,Black Smartphone
30028,White,Straight Sideswept Fringe,Dark Brown,,Khaki Oxford with Buttons,Khaki Slacks,White Leather Sneaker with Grey Sole,Two Rings,,,,Black Smartphone
30029,White,Short Updo,Light Brown,,Brown Cardigan with Beige Longsleeve Shirt,Dark-Wash Denim,White Leather Sneaker with Grey Sole,,,,,
30030,White,Medium Curly Bob,Light Brown,,Charcoal Blazer with Light Blue Shirt and No Tie,Khaki,Black Leather Shoes with Laces,Two Rings,,,,
30031,White,Short Pixie,Black,,Olive Oxford with Pocket,Dark-Wash Denim,White Leather Sneaker with Grey Sole,,,,,Brown Leather Briefcase
30032,White,Short Pixie,Black,,Charcoal Blazer with Light Blue Shirt and Black Tie,Gray Slacks,White Canvas Sneaker with White Sole,,,,Stud Earring,Black Leather Briefcase
30033,White,Buzz Cut,Black,,Khaki Oxford with Tie,Dark-Wash Denim,Tan Suede Workboot with Tan Sole,,Navy Blue Workers Cap,Black Books,,Lunchbox
30034,White,Short Afro Fade,Black,,Blue Longsleeve,Gray Slacks,Brown Leather Shoes with Laces,,,,,
30035,White,Medium Curly Bob,Light Brown,,Olive Cardigan with Off-White Longsleeve Shirt,Dark-Wash Denim,Brown Leather Shoes with Laces,,,,,
30036,White,Short Coil,Blonde,,Charcoal Blazer with Light Blue Shirt and Black Tie,Khaki Slacks,Black Suede Chelseas with Brown Sole,,,,,Brown Leather Briefcase
30037,White,,Black,,Navy Oxford with Buttons,Khaki Slacks,White Canvas Sneaker with White Sole,,,,,Black Smartphone
30038,White,Updo Bun,Light Grey,Stubble,Charcoal Blazer with Light Blue Shirt and No Tie,Blue Denim,Tan Suede Workboot with Tan Sole,,,,,Black Smartphone
30039,White,Short Coil,Blonde,,Navy Blazer with Striped Shirt and No Tie,Gray Slacks,Tan Suede Workboot with Tan Sole,,,Rosegold Aviators,,Lunchbox
30040,White,Long Afro,Dark Brown,,Dark Gray Cardigan with Light Gray Longsleeve Shirt,Navy Slacks,White Leather Sneaker with Grey Sole,,,,,
30041,White,,Light Brown,Beard,Charcoal Blazer with Light Blue Shirt and Black Tie,Gray Slacks,Black Suede Chelseas with Brown Sole,,,Silver Aviators,,
30042,White,Short Messy,Black,,Denim Jumpsuit,,Tan Suede Workboot with Tan Sole,,,,,Brown Leather Briefcase
30043,White,Long Messy,Black,,Dark Gray Cardigan with Tan Oxford Shirt,Charcoal Slacks,Brown Leather Shoes with Laces,,,,,Brown Leather Briefcase
30044,White,Short Updo,Black,,Navy Blazer with Striped Shirt and No Tie,Dark-Wash Denim,Brown Leather Shoes with Laces,,,,,Blue Lunchbox
30045,White,,Blonde,,Dark Gray Longsleeve,Navy Slacks,White Leather Sneaker with Grey Sole,,Navy Blue Workers Cap,,,Lunchbox
30046,White,Low Ponytail,Black,Stubble,Dark Gray Longsleeve,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,,,,,Black Leather Briefcase
30047,White,Straight Sideswept Fringe,Light Brown,Beard,Tan Blazer with Off-White Shirt and Tan Tie,Khaki Slacks,Redbrown Leather Workboot with Brown Sole,,,Black Books,,Lunchbox
30048,White,Short Pixie,Blonde,Stubble,Navy Oxford with Tie and Pocket,Navy Slacks,Tan Suede Workboot with Tan Sole,,,,,Black Smartphone
30049,White,Medium Curly Bob,Light Brown,,Red Longsleeve,Charcoal Slacks,Black Leather Shoes with Laces,,,,,Black Smartphone
30050,White,Buzz Cut,Light Brown,,Brown Cardigan with Tan Oxford Shirt,Gray Slacks,Black Suede Chelseas with Brown Sole,,,Black Books,,Black Leather Briefcase
30051,White,Long Straight Bangs,Blonde,,Navy Blazer with Striped Shirt and No Tie,Charcoal Slacks,Black Suede Chelseas with Brown Sole,,,,,
30052,White,Long Messy,Black,,Navy Oxford with Buttons,Light-Wash Denim,White Canvas Sneaker with White Sole,,,Black Books,,Black Smartphone
30053,White,Low Ponytail,Black,,Red Longsleeve,Khaki Slacks,Redbrown Leather Workboot with Brown Sole,,,,Stud Earring,
30054,White,Low Ponytail,Light Brown,,Gray Blazer with Black Shirt and Gray Tie,Khaki Slacks,Brown Leather Shoes with Laces,,,,,
30055,White,,Light Brown,,Gray Blazer with Black Shirt and No Tie,Dark-Wash Denim,White Canvas Sneaker with White Sole,,,Silver Aviators,,Black Smartphone
30056,White,Long Straight Bangs,Light Grey,Thin,Navy Oxford with Tie,Dark-Wash Denim,White Canvas Sneaker with White Sole,Two Rings,,,,
30057,White,Short Afro Fade,Black,Thin,Navy Oxford with Buttons,Dark-Wash Denim,White Canvas Sneaker with White Sole,Two Rings,,Black Books,,Brown Leather Briefcase
30058,White,Short Pixie,Black,,Navy Blazer with Striped Shirt and No Tie,Navy Slacks,White Canvas Sneaker with White Sole,,,Silver Aviators,,Blue Lunchbox
30059,White,Short Messy,Light Brown,,Navy Blazer with Striped Shirt and No Tie,Dark-Wash Denim,White Leather Sneaker with Grey Sole,,,,,Black Smartphone
30060,White,Medium Curly Bob,Light Brown,,Dark Gray Longsleeve,Khaki Slacks,Black Suede Chelseas with Brown Sole,,,,,
30061,White,Long Afro,Black,,Charcoal Blazer with Light Blue Shirt and Black Tie,Gray Slacks,Redbrown Leather Workboot with Brown Sole,,,,,Black Leather Briefcase
30062,White,Short Coil,Black,,Navy Oxford with Pocket,Navy Slacks,Black Suede Chelseas with Brown Sole,,,,,Black Leather Briefcase
30063,White,Medium Curly Bob,Dark Brown,,Blue Longsleeve,Charcoal Slacks,Brown Leather Shoes with Laces,,,,,Blue Lunchbox
30064,White,Short Pixie,Light Grey,Goatee,Dark Gray Longsleeve,Light-Wash Denim,Redbrown Leather Workboot with Brown Sole,Two Rings,,Black Books,Stud Earring,
30065,White,Straight Sideswept Fringe,Black,Beard,Light Gray Longsleeve,Dark-Wash Denim,Redbrown Leather Workboot with Brown Sole,Two Rings,,Rosegold Aviators,,Black Smartphone
30066,White,Short Pixie,Black,Thin,Blue Longsleeve,Charcoal Slacks,White Canvas Sneaker with White Sole,,,Rosegold Aviators,,Lunchbox
30067,White,Low Ponytail,Light Brown,,Blue Longsleeve,Navy Slacks,Brown Leather Shoes with Laces,,,,,Brown Leather Briefcase
30068,White,Short Afro Fade,Blonde,,Khaki Oxford with Tie and Pocket,Blue Denim,Tan Suede Workboot with Tan Sole,,,,,Black Leather Briefcase
30069,White,,Light Brown,Stubble,Navy Blazer with Striped Shirt and No Tie,Charcoal Slacks,White Leather Sneaker with Grey Sole,,,,,
30070,White,Long Messy,Blonde,Mustache,Tan Blazer with Off-White Shirt and No Tie,Charcoal Slacks,Brown Leather Shoes with Laces,,,,,Black Smartphone
30071,White,,Black,,Red Longsleeve,Light-Wash Denim,Tan Suede Workboot with Tan Sole,,,Black Books,,
30072,White,Low Ponytail,Blonde,,Navy Oxford with Buttons,Charcoal Slacks,Black Suede Chelseas with Brown Sole,,,,Stud Earring,
30073,White,Straight Sideswept Fringe,Light Brown,,Olive Oxford with Buttons,Light-Wash Denim,Brown Leather Shoes with Laces,,,,,Brown Leather Briefcase
30074,White,Short Updo,Black,,Dark Gray Cardigan with Tan Longsleeve Shirt,Charcoal Slacks,White Canvas Sneaker with White Sole,Two Rings,,,,Brown Leather Briefcase
30075,White,,Black,,Khaki Oxford with Pocket,Charcoal Slacks,White Canvas Sneaker with White Sole,,,Silver Aviators,Stud Earring,Brown Leather Briefcase
30076,White,Buzz Cut,Black,Stubble,Red Longsleeve,Navy Slacks,Redbrown Leather Workboot with Brown Sole,,Tan Workers Cap,,,
30077,White,Short Messy,Black,,Charcoal Blazer with Light Blue Shirt and Black Tie,Khaki Slacks,White Canvas Sneaker with White Sole,,,,,Black Smartphone
30078,White,Short Afro Fade,Auburn,Goatee,Navy Oxford with Buttons,Navy Slacks,Black Suede Chelseas with Brown Sole,,,,,
30079,White,Medium Curly Bob,Black,,Charcoal Blazer with Light Blue Shirt and No Tie,Gray Slacks,Brown Leather Shoes with Laces,Two Rings,,Silver Aviators,,Light Blue Smartphone
30080,White,Buzz Cut,Auburn,,Olive Oxford with Buttons,Navy Slacks,White Leather Sneaker with Grey Sole,,Purple Workers Cap,Black Books,,Black Leather Briefcase
30081,White,Short Pixie,Dark Brown,,Charcoal Blazer with Light Blue Shirt and No Tie,Gray Slacks,White Leather Sneaker with Grey Sole,Two Rings,,,,Black Leather Briefcase
30082,White,Buzz Cut,Black,Stubble,Charcoal Blazer with Light Blue Shirt and Black Tie,Khaki Slacks,Black Suede Chelseas with Brown Sole,,,,,Brown Leather Briefcase
30083,White,Medium Curly Bob,Light Brown,,Charcoal Blazer with Light Blue Shirt and No Tie,Khaki Slacks,Black Suede Chelseas with Brown Sole,,,Rosegold Aviators,,
30084,White,Updo Bun,Black,Mustache,Dark Gray Longsleeve,Navy Slacks,Black Leather Shoes with Laces,,,Black Books,,Black Smartphone
30085,White,Short Afro Fade,Black,,Denim Jumpsuit,,Brown Leather Shoes with Laces,,,,,Black Leather Briefcase
30086,White,Short Messy,Dark Brown,,Gray Blazer with Black Shirt and Gray Tie,Navy Slacks,Redbrown Leather Workboot with Brown Sole,,,,,
30087,White,Short Afro Fade,Black,,Dark Gray Cardigan with Light Gray Longsleeve Shirt,Charcoal Slacks,Brown Leather Shoes with Laces,,,Black Books,,
30088,White,Low Ponytail,Dark Brown,,Olive Oxford with Pocket,Dark-Wash Denim,Black Leather Shoes with Laces,,,Black Books,,
30089,White,Long Messy,Auburn,,Charcoal Blazer with Light Blue Shirt and No Tie,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,,,,,Brown Leather Briefcase
30090,White,Short Afro Fade,Auburn,,Charcoal Blazer with Light Blue Shirt and No Tie,Gray Slacks,Black Leather Shoes with Laces,,,Silver Aviators,,Light Blue Smartphone
30091,White,Short Updo,Blonde,,Denim Jumpsuit,,Brown Leather Shoes with Laces,,,Silver Aviators,,
30092,White,Long Straight Bangs,Auburn,,Navy Oxford with Pocket,Dark-Wash Denim,Black Leather Shoes with Laces,,,,,
30093,White,Buzz Cut,Auburn,,Charcoal Blazer with Light Blue Shirt and Black Tie,Gray Slacks,Black Suede Chelseas with Brown Sole,,,,,Black Smartphone
30094,White,Low Ponytail,Blonde,Thin,Navy Oxford with Buttons,Charcoal Slacks,Redbrown Leather Workboot with Brown Sole,,,Black Books,,Black Smartphone
30095,White,Long Messy,Black,,Light Gray Longsleeve,Gray Slacks,Brown Leather Shoes with Laces,,,,,Brown Leather Briefcase
30096,White,Short Messy,Dark Brown,,Blue Longsleeve,Light-Wash Denim,Brown Leather Shoes with Laces,,,Silver Aviators,,
30097,White,Buzz Cut,Black,,Olive Cardigan with Beige Longsleeve Shirt,Dark-Wash Denim,Tan Suede Workboot with Tan Sole,,Tan Workers Cap,,,
30098,White,Long Messy,Light Brown,,Gray Oxford with Tie and Pocket,Khaki Slacks,Brown Leather Shoes with Laces,,,,,
30099,White,Medium Curly Bob,Auburn,,Navy Oxford with Pocket,Dark-Wash Denim,Tan Suede Workboot with Tan Sole,,,Black Books,,Black Leather Briefcase
30100,White,,Auburn,,Navy Oxford with Pocket,Khaki Slacks,Black Suede Chelseas with Brown Sole,,,Rosegold Aviators,,Black Leather Briefcase
30101,White,,Light Brown,,Red Longsleeve,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,,,,,
30102,White,Short Pixie,Auburn,Stubble,Navy Blazer with Striped Shirt and No Tie,Khaki Slacks,Tan Suede Workboot with Tan Sole,,,Silver Aviators,,Blue Lunchbox
30103,White,Long Messy,Black,,Khaki Oxford with Pocket,Charcoal Slacks,Black Suede Chelseas with Brown Sole,,,,,Black Smartphone
30104,White,Medium Curly Bob,Light Brown,,Khaki Oxford with Pocket,Khaki Slacks,Redbrown Leather Workboot with Brown Sole,,,,,Brown Leather Briefcase
30105,White,Short Pixie,Auburn,,Blue Longsleeve,Light-Wash Denim,Black Suede Chelseas with Brown Sole,,,,,Blue Lunchbox
30106,White,Updo Bun,Dark Brown,Mustache,Gray Oxford with Pocket,Dark-Wash Denim,White Leather Sneaker with Grey Sole,,,Silver Aviators,,
30107,White,Short Coil,Light Brown,,Blue Longsleeve,Navy Slacks,Brown Leather Shoes with Laces,,,,Stud Earring,Black Smartphone
30108,White,Buzz Cut,Light Brown,,Olive Oxford with Tie,Dark-Wash Denim,White Canvas Sneaker with White Sole,,Tan Workers Cap,,,
30109,White,Short Updo,Black,,Dark Gray Longsleeve,Charcoal Slacks,Tan Suede Workboot with Tan Sole,Two Rings,,,,
30110,White,Short Pixie,Dark Brown,,Navy Blazer with Striped Shirt and Navy Tie,Gray Slacks,Tan Suede Workboot with Tan Sole,,,,,Brown Leather Briefcase
30111,White,Short Pixie,Black,,Light Gray Cardigan with Beige Longsleeve Shirt,Navy Slacks,Tan Suede Workboot with Tan Sole,Two Rings,,Rosegold Aviators,,Brown Leather Briefcase
30112,White,Straight Sideswept Fringe,Blonde,,Red Longsleeve,Gray Slacks,White Canvas Sneaker with White Sole,,,,,Black Smartphone
30113,White,Short Messy,Light Brown,Stubble,Light Gray Longsleeve,Khaki Slacks,White Canvas Sneaker with White Sole,,,,,Black Leather Briefcase
30114,White,Short Afro Fade,Black,,Light Gray Longsleeve,Navy Slacks,White Canvas Sneaker with White Sole,,,,,Black Leather Briefcase
30115,White,Short Afro Fade,Dark Brown,Stubble,Khaki Oxford with Pocket,Gray Slacks,Black Leather Shoes with Laces,,,,,Blue Lunchbox
30116,White,Medium Curly Bob,Light Grey,Stubble,Charcoal Blazer with Light Blue Shirt and No Tie,Navy Slacks,White Canvas Sneaker with White Sole,,,,,Black Smartphone
30117,White,Medium Curly Bob,Light Brown,Stubble,Gray Blazer with Black Shirt and Gray Tie,Navy Slacks,Brown Leather Shoes with Laces,Two Rings,,,,
30118,White,Buzz Cut,Blonde,,Olive Cardigan with Light Gray Oxford Shirt,Navy Slacks,Brown Leather Shoes with Laces,Ring One Blue,,Silver Aviators,,Black Leather Briefcase
30119,White,Buzz Cut,Blonde,,Olive Oxford with Buttons,Khaki,White Leather Sneaker with Grey Sole,,,Black Books,,Black Smartphone
30120,White,Straight Sideswept Fringe,Dark Brown,,Navy Oxford with Pocket,Khaki Slacks,Black Leather Shoes with Laces,,,,,
30121,White,Short Messy,Black,Goatee,Gray Blazer with Black Shirt and No Tie,Dark-Wash Denim,Redbrown Leather Workboot with Brown Sole,,,Black Books,,Lunchbox
30122,White,Straight Sideswept Fringe,Light Brown,,Light Gray Cardigan with Light Gray Oxford Shirt,Gray Slacks,White Leather Sneaker with Grey Sole,,,Silver Aviators,,
30123,White,Medium Curly Bob,Black,,Navy Oxford with Tie,Light-Wash Denim,Brown Leather Shoes with Laces,,,,,
30124,White,Straight Sideswept Fringe,Black,,Navy Blazer with Striped Shirt and Navy Tie,Khaki Slacks,Brown Leather Shoes with Laces,,,Black Books,,Black Smartphone
30125,White,Short Coil,Dark Brown,,Blue Longsleeve,Light-Wash Denim,Black Leather Shoes with Laces,,,,,Black Smartphone
30126,White,Medium Curly Bob,Black,Goatee,Charcoal Blazer with Light Blue Shirt and Black Tie,Navy Slacks,Black Suede Chelseas with Brown Sole,,,Silver Aviators,,
30127,White,Long Straight Bangs,Dark Brown,,Denim Jumpsuit,,Black Suede Chelseas with Brown Sole,,,Black Books,,Black Leather Briefcase
30128,White,Medium Curly Bob,Blonde,,Denim Jumpsuit,,White Leather Sneaker with Grey Sole,,,,,Black Smartphone
30129,White,,Dark Brown,,Khaki Oxford with Buttons,Charcoal Slacks,Black Leather Shoes with Laces,,Tan Workers Cap,,Stud Earring,
30130,White,Buzz Cut,Black,,Navy Blazer with Striped Shirt and No Tie,Khaki,White Canvas Sneaker with White Sole,,,,Stud Earring,Black Smartphone
30131,White,Short Coil,Light Brown,,Navy Oxford with Tie,Charcoal Slacks,Black Leather Shoes with Laces,,,,,
30132,White,Straight Sideswept Fringe,Light Grey,,Charcoal Blazer with Light Blue Shirt and No Tie,Charcoal Slacks,Tan Suede Workboot with Tan Sole,,,Rosegold Aviators,,Black Leather Briefcase
30133,White,Short Messy,Black,,Navy Blazer with Striped Shirt and No Tie,Dark-Wash Denim,Redbrown Leather Workboot with Brown Sole,,,,,Black Leather Briefcase
30134,White,,Black,Stubble,Light Gray Cardigan with Off-White Oxford Shirt,Navy Slacks,White Canvas Sneaker with White Sole,,Tan Workers Cap,,,
30135,White,Medium Curly Bob,Black,Beard,Red Longsleeve,Khaki Slacks,Brown Leather Shoes with Laces,,,,,
30136,White,,Black,,Blue Longsleeve,Dark-Wash Denim,Brown Leather Shoes with Laces,,,Rosegold Aviators,,
30137,White,Long Straight Bangs,Black,,Navy Oxford with Buttons,Dark-Wash Denim,White Canvas Sneaker with White Sole,,,Black Books,,
30138,White,,Light Grey,,Olive Oxford with Buttons,Khaki,Black Suede Chelseas with Brown Sole,,Navy Blue Workers Cap,Black Books,,
30139,White,Short Updo,Light Brown,,Gray Blazer with Black Shirt and Gray Tie,Khaki,White Canvas Sneaker with White Sole,,,Rosegold Aviators,,Black Smartphone
30140,White,Short Coil,Black,,Dark Gray Longsleeve,Charcoal Slacks,White Leather Sneaker with Grey Sole,,,Black Books,,Black Smartphone
30141,White,Low Ponytail,Black,,Olive Oxford with Pocket,Navy Slacks,Brown Leather Shoes with Laces,,,,,
30142,White,Short Updo,Light Brown,,Tan Blazer with Off-White Shirt and No Tie,Light-Wash Denim,Black Leather Shoes with Laces,Two Rings,,Black Books,,Black Smartphone
30143,White,Short Pixie,Black,,Gray Jumpsuit,,White Leather Sneaker with Grey Sole,,,,,Blue Lunchbox
30144,White,Short Coil,Light Grey,Stubble,Dark Gray Longsleeve,Light-Wash Denim,Tan Suede Workboot with Tan Sole,,,,,
30145,White,,Blonde,Stubble,Olive Oxford with Tie and Pocket,Charcoal Slacks,White Leather Sneaker with Grey Sole,,Navy Blue Workers Cap,,,Black Smartphone
30146,White,Straight Sideswept Fringe,Blonde,,Khaki Oxford with Tie,Khaki,White Leather Sneaker with Grey Sole,Two Rings,,Black Books,,Black Smartphone
30147,White,Low Ponytail,Black,,Red Longsleeve,Charcoal Slacks,Brown Leather Shoes with Laces,,,,,Black Leather Briefcase
30148,White,Short Coil,Blonde,Stubble,Khaki Oxford with Pocket,Khaki Slacks,Brown Leather Shoes with Laces,,,Black Books,,Black Smartphone
30149,White,Short Afro Fade,Black,Beard,Olive Oxford with Pocket,Navy Slacks,Redbrown Leather Workboot with Brown Sole,,,,,Black Smartphone
