,Zen,Name,Hacking,Transportation,Occupation,Wisdom,Intelligence,Social Media Followers,Charisma,Dexterity,Salary,Strength,Credit Score,Constitution,Votes,Generation,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
85001,Grandmaster,None,Earned an MIT Computer Sciences Diploma,Back of Rusty Pickup Truck,Unemployed,13,14,1993,7,3,52968,8,777,14,1,1,Black Leather Briefcase,,,,Two Rings,Black Suede Chelseas with Brown Sole,Khaki Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,Goatee,Auburn,Short Afro Fade,White Light Rain
85002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85014,Teacher,None,Stole a high school computer lab pass,Low Rider,Talent Agent,11,12,1993,7,11,52968,8,711,10,1,1,Black Leather Briefcase,,,,,Black Leather Shoes with Laces,Light-Wash Denim,Charcoal Blazer with Light Blue Shirt and No Tie,,Light Grey,Straight Sideswept Fringe,White Medium Rain
85015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85018,Disciple,None,Read the Bitcoin white paper twice,Go-Kart,Bookkeeper,10,10,84059,11,8,5260,4,699,9,1,1,,,,,Two Rings,Black Leather Shoes with Laces,Dark-Wash Denim,Light Gray Longsleeve,,Dark Brown,Updo Bun,White Medium Rain
85019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85029,Teacher,None,Read the Bitcoin white paper twice,Electric Car,Computer Programmer,11,10,12453,9,12,35555,7,699,9,1,1,Black Smartphone,,,,Two Rings,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Gray Oxford with Buttons,,Dark Brown,Short Afro Fade,White Light Rain
85030,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85039,A Not Particularly Gifted Baby,None,Got caught hacking your grades,Retired Mail Truck,Utility Worker,4,13,1993,7,7,22576,6,753,13,1,1,Black Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Blonde,Medium Curly Bob,White Light Rain
85040,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85045,Disciple,None,Earned an MIT Computer Sciences Diploma,Electric Car,Assistant to the Regional Manager,10,14,777,6,12,76302,9,819,17,1,1,Brown Leather Briefcase,,Black Books,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Gray Blazer with Black Shirt and No Tie,,Light Grey,Short Coil,White Light Rain
85046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
