,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
15001,White,Medium Curly Bob,Dark Brown,None,Gray Blazer with Black Shirt and No Tie,Navy Slacks,White Canvas Sneaker with White Sole,None,None,Black Books,None,Black Smartphone
15002,White,Straight Sideswept Fringe,Dark Brown,None,Light Gray Cardigan with Light Gray Longsleeve Shirt,Blue Denim,White Canvas Sneaker with White Sole,None,None,None,None,Lunchbox
15003,White,Low Ponytail,Light Brown,Stubble,Khaki Oxford with Buttons,Blue Denim,Tan Suede Workboot with Tan Sole,None,None,None,None,Brown Leather Briefcase
15004,White,Short Afro Fade,Light Brown,None,Olive Cardigan with Off-White Longsleeve Shirt,Khaki,White Canvas Sneaker with White Sole,None,None,None,None,Black Smartphone
15005,White,Short Pixie,Black,Mustache,Olive Oxford with Tie,Gray Slacks,Black Leather Shoes with Laces,None,None,None,Stud Earring,Black Leather Briefcase
15006,White,Buzz Cut,Blonde,Stubble,Navy Oxford with Buttons,Charcoal Slacks,Brown Leather Shoes with Laces,None,None,Rosegold Aviators,None,Black Smartphone
15007,White,Low Ponytail,Light Brown,Beard,Light Gray Longsleeve,Dark-Wash Denim,Black Leather Shoes with Laces,None,None,Silver Aviators,None,Black Smartphone
15008,White,Short Messy,Light Brown,None,Gray Oxford with Buttons,Gray Slacks,White Canvas Sneaker with White Sole,None,None,None,None,Black Smartphone
15009,White,Short Messy,Black,None,Tan Blazer with Off-White Shirt and No Tie,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,None,None,None,None,None
15010,White,None,Black,None,Olive Oxford with Pocket,Charcoal Slacks,Black Leather Shoes with Laces,None,Navy Blue Workers Cap,Black Books,None,None
15011,White,Short Afro Fade,Light Grey,Stubble,Light Gray Cardigan with Light Gray Longsleeve Shirt,Charcoal Slacks,White Leather Sneaker with Grey Sole,None,None,None,None,Black Smartphone
15012,White,Buzz Cut,Light Brown,Thin,Blue Longsleeve,Gray Slacks,Brown Leather Shoes with Laces,None,Tan Workers Cap,Black Books,None,Lunchbox
15013,White,Short Messy,Dark Brown,None,Blue Longsleeve,Light-Wash Denim,Black Suede Chelseas with Brown Sole,None,None,None,None,Brown Leather Briefcase
15014,White,Medium Curly Bob,Black,None,Dark Gray Cardigan with Tan Oxford Shirt,Khaki Slacks,Black Leather Shoes with Laces,None,None,None,None,Black Smartphone
15015,White,Long Straight Bangs,Black,None,Navy Oxford with Buttons,Light-Wash Denim,Black Leather Shoes with Laces,None,None,Silver Aviators,None,Lunchbox
15016,White,Long Messy,Black,None,Olive Oxford with Pocket,Khaki Slacks,Brown Leather Shoes with Laces,Two Rings,None,Rosegold Aviators,None,None
15017,White,Short Coil,Black,None,Olive Oxford with Tie and Pocket,Light-Wash Denim,White Canvas Sneaker with White Sole,None,None,None,None,None
15018,White,Straight Sideswept Fringe,Dark Brown,None,Gray Blazer with Black Shirt and Gray Tie,Dark-Wash Denim,Brown Leather Shoes with Laces,None,None,Black Books,None,Lunchbox
15019,White,Buzz Cut,Black,None,Tan Blazer with Off-White Shirt and No Tie,Gray Slacks,Redbrown Leather Workboot with Brown Sole,Two Rings,Tan Workers Cap,Black Books,None,Black Leather Briefcase
15020,White,Straight Sideswept Fringe,Light Brown,None,Gray Blazer with Black Shirt and Gray Tie,Charcoal Slacks,Tan Suede Workboot with Tan Sole,None,None,Black Books,None,Black Leather Briefcase
15021,White,Straight Sideswept Fringe,Auburn,None,Olive Oxford with Buttons,Gray Slacks,Tan Suede Workboot with Tan Sole,None,None,None,None,Black Leather Briefcase
15022,White,Short Messy,Black,None,Light Gray Longsleeve,Navy Slacks,Redbrown Leather Workboot with Brown Sole,None,None,None,None,Brown Leather Briefcase
15023,White,Long Messy,Auburn,None,Dark Gray Longsleeve,Light-Wash Denim,White Leather Sneaker with Grey Sole,None,None,None,None,None
15024,White,Short Afro Fade,Blonde,Mustache,Navy Blazer with Striped Shirt and Navy Tie,Dark-Wash Denim,White Canvas Sneaker with White Sole,None,None,None,None,Black Leather Briefcase
15025,White,Straight Sideswept Fringe,Dark Brown,None,Navy Blazer with Striped Shirt and Navy Tie,Dark-Wash Denim,Brown Leather Shoes with Laces,None,None,Black Books,None,Black Smartphone
15026,White,Short Afro Fade,Light Brown,Mustache,Dark Gray Cardigan with Off-White Longsleeve Shirt,Charcoal Slacks,Black Leather Shoes with Laces,None,None,Silver Aviators,None,Brown Leather Briefcase
15027,White,Low Ponytail,Blonde,None,Navy Blazer with Striped Shirt and No Tie,Navy Slacks,White Leather Sneaker with Grey Sole,None,None,None,None,Black Smartphone
15028,White,Long Afro,Black,Goatee,Light Gray Longsleeve,Charcoal Slacks,Brown Leather Shoes with Laces,None,None,None,None,Black Smartphone
15029,White,Low Ponytail,Dark Brown,None,Navy Blazer with Striped Shirt and No Tie,Dark-Wash Denim,Redbrown Leather Workboot with Brown Sole,None,None,None,None,Brown Leather Briefcase
15030,White,Medium Curly Bob,Black,None,Navy Blazer with Striped Shirt and No Tie,Blue Denim,Black Suede Chelseas with Brown Sole,None,None,None,None,None
15031,White,Long Straight Bangs,Blonde,None,Olive Oxford with Buttons,Dark-Wash Denim,Redbrown Leather Workboot with Brown Sole,None,None,Black Books,None,Black Smartphone
15032,White,None,Black,None,Tan Blazer with Off-White Shirt and Tan Tie,Gray Slacks,White Canvas Sneaker with White Sole,Two Rings,Navy Blue Workers Cap,Black Books,None,Black Smartphone
15033,White,Short Messy,Black,None,Olive Oxford with Tie,Dark-Wash Denim,White Canvas Sneaker with White Sole,None,None,None,Stud Earring,Black Smartphone
15034,White,None,Dark Brown,Thin,Navy Blazer with Striped Shirt and No Tie,Charcoal Slacks,Brown Leather Shoes with Laces,None,Purple Workers Cap,None,None,Black Smartphone
15035,White,Medium Curly Bob,Auburn,Beard,Gray Oxford with Tie and Pocket,Dark-Wash Denim,White Canvas Sneaker with White Sole,None,None,None,None,None
15036,White,None,Light Grey,None,Gray Oxford with Buttons,Charcoal Slacks,White Canvas Sneaker with White Sole,None,Tan Workers Cap,Black Books,None,Lunchbox
15037,White,None,Light Brown,None,Red Longsleeve,Charcoal Slacks,Redbrown Leather Workboot with Brown Sole,None,None,Silver Aviators,Stud Earring,Black Leather Briefcase
15038,White,Low Ponytail,Black,Goatee,Navy Oxford with Buttons,Light-Wash Denim,Brown Leather Shoes with Laces,None,None,None,None,Lunchbox
15039,White,Updo Bun,Black,None,Blue Longsleeve,Blue Denim,White Leather Sneaker with Grey Sole,None,None,None,None,None
15040,White,Updo Bun,Blonde,Mustache,Olive Oxford with Tie and Pocket,Navy Slacks,White Canvas Sneaker with White Sole,None,None,Black Books,None,Black Smartphone
15041,White,Short Messy,Blonde,None,Olive Oxford with Tie,Khaki,Redbrown Leather Workboot with Brown Sole,None,None,None,None,Black Smartphone
15042,White,Low Ponytail,Dark Brown,None,Olve Cardigan with Tan Longsleeve Shirt,Navy Slacks,White Canvas Sneaker with White Sole,None,None,None,None,Brown Leather Briefcase
