,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
95001,Brown Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Tan Blazer with Off-White Shirt and No Tie,,Dark Brown,Buzz Cut,White
95002,Blue Lunchbox,,,,,Brown Leather Shoes with Laces,Gray Slacks,Dark Gray Longsleeve,,Auburn,Medium Curly Bob,White
95003,Black Smartphone,,Black Books,,,Black Leather Shoes with Laces,Navy Slacks,Dark Gray Cardigan with Beige Oxford and No Tie,,Dark Brown,Long Straight Bangs,White
95004,,,,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Navy Oxford with Buttons,,Dark Brown,Short Updo,White
95005,Black Leather Briefcase,,,,,Black Leather Shoes with Laces,Khaki Slacks,Navy Oxford with Tie and Pocket,Stubble,Black,Short Coil,White
95006,,Stud Earring,,,,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Light Gray Longsleeve,,Black,Low Ponytail,White
95007,Black Leather Briefcase,,Rosegold Aviators,,,White Canvas Sneaker with White Sole,Light-Wash Denim,Light Gray Cardigan with Off-White Longsleeve Shirt,Mustache,Dark Brown,Low Ponytail,White
95008,Black Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Khaki Slacks,Dark Gray Longsleeve,,Blonde,Long Messy,White
95009,Brown Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Dark-Wash Denim,Khaki Oxford with Tie,,Black,Straight Sideswept Fringe,White
95010,Black Smartphone,Stud Earring,,,,Brown Leather Shoes with Laces,Khaki Slacks,Gray Oxford with Tie,,Dark Brown,Low Ponytail,White
95011,Brown Leather Briefcase,,Black Books,,,Tan Suede Workboot with Tan Sole,Dark-Wash Denim,Olive Oxford with Pocket,,Dark Brown,Short Pixie,White
95012,Lunchbox,Stud Earring,,Navy Blue Worker's Cap,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Light Grey,Buzz Cut,White
95013,Black Smartphone,,Rosegold Aviators,,,White Leather Sneaker with Grey Sole,Blue Denim,Light Gray Longsleeve,Thin,Light Brown,Short Afro Fade,White
