,Perception,Headjack,Will,Movement,Name,Persuasion,Top,Awareness,Glasses,Footwear,Power,Charisma,Wisdom,Intelligence,Dexterity,Constitution,Strength,Votes,Generation,Right Hand Accessory,Left Hand Accessory,Front Neck Tattoo,Side Neck Tattoo,Forearm Tattoo,Bicep Tattoo,Piercings,Neckwear,Wristwear,Facial Expression,Facial Hair,Hair Dye,Hair Color,Hair Style,Background,Bottom
20001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20003,Can see around corners,Yes,Incredible moral fiber,Sleep paralysis,None,You're a bit of a charmer,Black Cotton Tank,Accepting the impermanence of things,Black Wayfarer with Black Lens,Black Leather Combat Cuff Boot,The gym stops to watch you lift,7,11,11,2,11,8,1,1,,Katana with Black Handle and White Blade,,,,Interlocking Circles,,Leather Choker,,Scowl,,Natural,Blonde,Short Updo,Medium Rain,Black Cotton Wool Slacks with Buckles
20004,Can hear a heartbeat a mile away,Yes,Incredible moral fiber,Sleep paralysis,None,Everything is always an option,Green Leather Mandarin Tunic,Accepting the impermanence of things,,Green Leather Combat Cuff Boot,Can take a punch,12,11,12,2,11,3,1,1,,Black Gun,,Triforce,,,,,,,,Natural,Dark Brown,Messy Updo Bun,Light Rain,Red Snakeskin Pants with Buckles
20005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20006,You've got a bad feeling about this,Yes,Quiet confidence,Getting the hang of it,None,Everything is always an option,Black Cotton Longsleeve Crew,Learning to regulate emotions,Black Neo with Mirror Lens,Black Leather Neo Combat Boot,Can take a punch,12,9,9,5,10,3,1,1,,,,,,,,,Studded Leather,Scowl,,Natural,Blonde,Buzz Cut,Medium Rain,Black Patent Leather Pants with Buckles
20007,Can see around corners,Yes,Incredible moral fiber,Running circles around enemies,None,You're a bit of a charmer,Black Cotton Tank,Accepting the impermanence of things,Black Hex with Purple Polarized Lens,Black Patent Leather Neo Combat Boot,Paper hands,7,11,11,7,11,1,1,1,,,,,Triangle,Triangle,,,,,,Natural,Light Brown,,Light Rain,Green Cotton Leggings
20008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20015,Can see over the horizon,Yes,Quiet confidence,Two left feet,None,People follow you blindly,Green Leather Mandarin Tunic,Accepting the impermanence of things,,Patent Green Leather Combat Cuff Boot,Can put up a fight,11,11,13,3,10,4,1,1,Black Short Sai,,,,,,Black Earrings,Leather Cuff,,Meditative,Thin,Natural,Light Grey,Faux Hawk,Light Rain,Green Cotton Leggings
20016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020,Can hear a heartbeat a mile away,Yes,Incredible moral fiber,You've got a rare and beautiful gift,None,You're a bit of a charmer,Black Leather Trench Coat with Green Leather Tank,Reality is seen as it is,,Black Snakeskin Combat Cuff Boot,Can take a punch,7,15,12,12,11,3,1,1,Phone,Katana with White Handle and Silver Blade,,,,,,Leather Choker,,Scowl,,Natural,Light Brown,Short Messy,Light Rain,Black Cotton Leggings
20021,Can hear a bee's wings,Yes,Unshakable resolve,Two left feet,None,Your significant other's mom loves you,Black Snakeskin Moto Jacket with Black Cotton Crew,Accepting the impermanence of things,Black and Gold Wayfarer with Black Lens,Patent Black Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,8,11,10,3,12,2,1,1,Phone,Phone,,Equality Sign,,,Silver Nose and Lip Rings,,,Smirk,,Natural,Black,Short Messy,Light Rain,Black Cotton Wool Slacks with Buckles
20022,Can hear a heartbeat a mile away,Yes,Incredible moral fiber,Two left feet,None,People smile back at you,Green Leather Trench Coat with Black Leather Tank,Appreciation for the complexity of human behavior,White Futurist with Mirror Lens,Green Leather Combat Cuff Boot,Can take a punch,6,12,12,3,11,3,1,1,Dark Wood Staff,,,,,,,,,,Thin,Natural,Light Brown,Buzz Cut,Medium Rain,Green Cotton Leggings
20023,You've got a bad feeling about this,Yes,Incredible moral fiber,Two left feet,None,People smile back at you,Green Leather Trench Coat with Black Cotton Tank,Accepting the impermanence of things,,Black Knee High Leather Boots,Can take a punch,6,11,9,3,11,3,1,1,,,,,,,,,,,,Natural,Light Brown,Short Curly Fade,Light Rain,Black Leather Leggings
